"-","id","timestamp","frameNumber","x","y","vx","vy","size"
"$","1","1707210974060","96","-57.8984375","3.453125","33.1594505310059","1","8.3155517578125"
"$","1","1707210974201","98","-54.2890625","6.34375","34.2339172363281","1","6.9683837890625"
"$","1","1707210974263","99","-52.3984375","7.140625","34.2339172363281","1","6.9683837890625"
"$","1","1707210974404","101","-48.6640625","9.3828125","35.0635681152344","1","7.11572265625"
"$","1","1707210974466","102","-46.75","10.3515625","35.3538932800293","1","7.2353515625"
"$","1","1707210974560","103","-42.8515625","11.890625","35.5286712646484","1","7.415771484375"
"$","1","1707210974591","104","-40.8828125","12.5546875","35.6448707580566","1","7.5067138671875"
"$","1","1707210974669","105","-38.9140625","13.3828125","35.6448707580566","1","7.5067138671875"
"$","1","1707210974732","106","-36.9765625","13.75","35.9674224853516","1","7.59814453125"
"$","1","1707210974794","107","-34.96875","14.5390625","35.9674224853516","1","7.59814453125"
"$","1","1707210974872","108","-32.9609375","15.328125","35.9674224853516","1","7.59814453125"
"$","1","1707210974935","109","-30.953125","16.125","35.9674224853516","1","7.59814453125"
"$","1","1707210974997","110","-28.9453125","16.9140625","35.9674224853516","1","7.59814453125"
"$","1","1707210975060","111","-26.9375","17.703125","35.9674224853516","1","7.59814453125"
"$","1","1707210975341","115","-111.9765625","1.828125","23.0024738311768","1","8.3155517578125"
"$","1","1707210975403","116","-110.6171875","2.1171875","23.0103168487549","1","8.3155517578125"
"$","2","1707210975403","116","-17.734375","15.328125","32.2072639465332","1","3.10400390625"
"$","1","1707210975466","117","-109.2421875","2.2734375","23.0103168487549","1","8.3155517578125"
"$","2","1707210975466","117","-15.828125","15.6171875","32.2072639465332","1","3.10400390625"
"$","3","1707210975528","118","-107.875","2.421875","23.0103168487549","1","8.3155517578125"
"$","3","1707210975591","119","-106.5078125","2.5703125","23.0172119140625","1","8.3155517578125"
"$","3","1707210975669","120","-103.8125","3.28125","23.0543956756592","1","8.3155517578125"
"$","3","1707210975731","121","-102.453125","3.4375","23.0491580963135","1","8.3155517578125"
"$","3","1707210975794","122","-101.09375","3.640625","23.0512447357178","1","8.3155517578125"
"$","3","1707210975857","123","-99.71875","3.8203125","23.0512447357178","1","8.3155517578125"
"$","3","1707210975935","124","-98.3515625","4.0078125","23.0512447357178","1","8.3155517578125"
"$","3","1707210975997","125","-96.9765625","4.1953125","23.0512447357178","1","8.3155517578125"
"$","3","1707210976060","126","-95.609375","4.1875","23.040433883667","1","8.3155517578125"
"$","3","1707210976138","127","-94.234375","4.359375","23.040433883667","1","8.3155517578125"
"$","3","1707210976200","128","-92.859375","4.53125","23.040433883667","1","8.3155517578125"
"$","3","1707210976263","129","-91.5234375","4.2578125","22.7869930267334","1","8.3155517578125"
"$","3","1707210976325","130","-90.1640625","4.40625","22.7869930267334","1","8.3155517578125"
"$","3","1707210976403","131","-87.421875","4.15625","22.9938659667969","1","8.3155517578125"
"$","3","1707210976466","132","-86.046875","4.2734375","22.9938659667969","1","8.3155517578125"
"$","4","1707210976466","132","-79.2421875","3.3203125","28.924633026123","1","7.1458740234375"
"$","3","1707210976528","133","-84.671875","4.3828125","22.9938659667969","1","8.3155517578125"
"$","4","1707210976528","133","-77.5078125","3.4453125","28.924633026123","1","7.1458740234375"
"$","3","1707210976591","134","-83.296875","4.5","22.9938659667969","1","8.3155517578125"
"$","3","1707210976669","135","-81.921875","4.6171875","22.9938659667969","1","8.3155517578125"
"$","3","1707210976731","136","-80.625","5.46875","22.7947025299072","1","7.4267578125"
"$","3","1707210976794","137","-79.265625","5.625","22.7947025299072","1","7.4267578125"
"$","3","1707210976872","138","-77.9296875","6.0078125","22.8185691833496","1","7.52197265625"
"$","3","1707210976934","139","-75.2109375","6.34375","22.8185691833496","1","7.52197265625"
"$","3","1707210976997","140","-73.8515625","6.5078125","22.8185691833496","1","7.52197265625"
"$","3","1707210977075","141","-72.5390625","7.2890625","22.8916606903076","1","7.6171875"
"$","3","1707210977137","142","-71.1796875","7.484375","22.8916606903076","1","7.6171875"
"$","3","1707210977200","143","-69.8203125","7.6875","22.8916606903076","1","7.6171875"
"$","4","1707210977200","143","-58.90625","7.859375","29.4164733886719","1","5.0859375"
"$","5","1707210977200","143","-125.53125","0.28125","21.3609657287598","1","8.3155517578125"
"$","3","1707210977262","144","-68.4609375","7.890625","22.8916606903076","1","7.6171875"
"$","4","1707210977262","144","-57.1640625","8.125","29.4327259063721","1","5.419921875"
"$","5","1707210977262","144","-124.265625","0.5390625","21.3844623565674","1","8.3155517578125"
"$","3","1707210977325","145","-67.1953125","8.84375","22.808012008667","1","7.6806640625"
"$","4","1707210977325","145","-55.40625","8.3671875","29.4312725067139","1","5.710693359375"
"$","5","1707210977325","145","-123","0.71875","21.3844623565674","1","8.3155517578125"
"$","3","1707210977403","146","-64.5625","9.75","22.9305610656738","1","7.8076171875"
"$","4","1707210977403","146","-51.921875","8.6640625","29.1856060028076","1","5.1060791015625"
"$","5","1707210977403","146","-120.4140625","1.1484375","21.6254196166992","1","8.3155517578125"
"$","3","1707210977465","147","-63.25","10.0625","22.9640731811523","1","7.83935546875"
"$","4","1707210977465","147","-50.1875","8.9296875","29.1856060028076","1","5.1060791015625"
"$","5","1707210977465","147","-119.1015625","1.203125","21.6124839782715","1","8.3155517578125"
"$","3","1707210977528","148","-61.8984375","10.328125","22.9640731811523","1","7.83935546875"
"$","4","1707210977528","148","-48.453125","9.15625","29.1709270477295","1","5.44140625"
"$","5","1707210977528","148","-117.8203125","1.3828125","21.6124839782715","1","8.3155517578125"
"$","3","1707210977590","149","-60.578125","10.4375","22.9574184417725","1","7.87109375"
"$","4","1707210977590","149","-46.7265625","9.328125","29.1670894622803","1","5.7333984375"
"$","5","1707210977590","149","-116.5625","1.703125","21.633150100708","1","8.3155517578125"
"$","3","1707210977669","150","-59.25","10.6953125","22.9804439544678","1","7.90283203125"
"$","4","1707210977669","150","-45.0078125","9.671875","29.0163974761963","1","6.00390625"
"$","5","1707210977669","150","-115.2734375","1.8984375","21.633150100708","1","8.3155517578125"
"$","3","1707210977747","151","-57.921875","10.9296875","22.9914436340332","1","7.9345703125"
"$","4","1707210977747","151","-43.2890625","9.9296875","29.0163974761963","1","6.00390625"
"$","5","1707210977747","151","-114","2.03125","21.6319427490234","1","8.3155517578125"
"$","3","1707210977794","152","-56.5703125","11.1875","22.9914436340332","1","7.9345703125"
"$","4","1707210977794","152","-41.640625","10.5390625","29.1448593139648","1","5.2001953125"
"$","5","1707210977794","152","-112.71875","2.2890625","21.6376857757568","1","8.3155517578125"
"$","3","1707210977872","153","-55.2109375","11.4375","22.9914436340332","1","7.9345703125"
"$","4","1707210977872","153","-39.921875","10.7265625","29.1465034484863","1","5.5338134765625"
"$","5","1707210977872","153","-111.4375","2.484375","21.6376857757568","1","8.3155517578125"
"$","3","1707210977934","154","-53.859375","11.6953125","22.9914436340332","1","7.9345703125"
"$","4","1707210977934","154","-38.1875","10.9375","29.1637859344482","1","5.82421875"
"$","5","1707210977934","154","-110.1484375","2.671875","21.6376857757568","1","8.3155517578125"
"$","3","1707210977997","155","-52.5","11.953125","22.9914436340332","1","7.9345703125"
"$","4","1707210977997","155","-36.515625","10.890625","29.0920143127441","1","4.699951171875"
"$","5","1707210977997","155","-108.8671875","2.859375","21.6376857757568","1","8.3155517578125"
"$","3","1707210978059","156","-51.140625","12.203125","22.9914436340332","1","7.9345703125"
"$","4","1707210978059","156","-34.78125","11.109375","29.1250801086426","1","5.0701904296875"
"$","5","1707210978059","156","-107.578125","3.046875","21.6376857757568","1","8.3155517578125"
"$","3","1707210978137","157","-48.4296875","12.71875","22.9914436340332","1","7.9345703125"
"$","4","1707210978137","157","-31.3203125","11.6796875","29.0292358398438","1","4.6834716796875"
"$","5","1707210978137","157","-105.0703125","4.015625","21.7087993621826","1","8.3155517578125"
"$","3","1707210978200","158","-47.078125","12.9765625","22.9914436340332","1","7.9345703125"
"$","4","1707210978200","158","-29.5859375","11.890625","29.0754280090332","1","5.07568359375"
"$","5","1707210978200","158","-103.7890625","4.125","21.9369945526123","1","8.3155517578125"
"$","3","1707210978262","159","-45.71875","13.2265625","22.9914436340332","1","7.9345703125"
"$","4","1707210978262","159","-27.859375","12.1484375","29.0754280090332","1","5.07568359375"
"$","5","1707210978262","159","-102.4921875","4.3359375","21.9369945526123","1","8.3155517578125"
"$","3","1707210978325","160","-26.1328125","12.3984375","29.0754280090332","1","5.07568359375"
"$","4","1707210978325","160","-101.1953125","4.5","21.9435214996338","1","8.3155517578125"
"$","3","1707210978403","161","-24.40625","12.6484375","29.0754280090332","1","5.07568359375"
"$","4","1707210978403","161","-99.8984375","4.7109375","21.9435214996338","1","8.3155517578125"
"$","3","1707210978465","162","-22.6796875","12.8984375","29.0754280090332","1","5.07568359375"
"$","4","1707210978465","162","-98.6171875","4.65625","21.9212131500244","1","8.3155517578125"
"$","3","1707210978528","163","-20.953125","13.1484375","29.0754280090332","1","5.07568359375"
"$","4","1707210978528","163","-97.3125","4.8515625","21.9212131500244","1","8.3155517578125"
"$","3","1707210978590","164","-19.2265625","13.3984375","29.0754280090332","1","5.07568359375"
"$","4","1707210978590","164","-96.0234375","5.2890625","21.9551773071289","1","8.3155517578125"
"$","3","1707210978668","165","-15.7734375","13.90625","29.0754280090332","1","5.07568359375"
"$","4","1707210978668","165","-93.46875","5.7890625","21.9729785919189","1","8.3155517578125"
"$","4","1707210978731","166","-92.1640625","6.0078125","21.9729785919189","1","8.3155517578125"
"$","4","1707210978793","167","-90.8671875","6.21875","21.9729785919189","1","8.3155517578125"
"$","4","1707210978871","168","-89.5625","6.4375","21.9729785919189","1","8.3155517578125"
"$","4","1707210978934","169","-88.265625","6.6484375","21.9729785919189","1","8.3155517578125"
"$","4","1707210978996","170","-86.9609375","6.8671875","21.9729785919189","1","8.3155517578125"
"$","4","1707210979059","171","-85.6640625","7.078125","21.9729785919189","1","8.3155517578125"
"$","4","1707210979137","172","-84.390625","7.09375","21.9753093719482","1","8.3155517578125"
"$","4","1707210979199","173","-83.0859375","7.296875","21.9753093719482","1","8.3155517578125"
"$","5","1707210979199","173","-26.4921875","14.5546875","23.5572776794434","1","5.4171142578125"
"$","4","1707210979278","174","-80.515625","7.7109375","21.9842357635498","1","8.3155517578125"
"$","5","1707210979278","174","-23.703125","14.8984375","23.4773921966553","1","5.121826171875"
"$","4","1707210979324","175","-79.2109375","7.9140625","21.9842357635498","1","8.3155517578125"
"$","5","1707210979324","175","-22.3125","15.1484375","23.4773921966553","1","5.121826171875"
"$","4","1707210979403","176","-20.953125","15.3203125","23.3850593566895","1","5.46240234375"
"$","5","1707210979403","176","-77.9453125","8.6796875","22.1007595062256","1","8.3155517578125"
"$","4","1707210979465","177","-19.5703125","15.5546875","23.3850593566895","1","5.46240234375"
"$","5","1707210979465","177","-76.6484375","8.6875","22.0643043518066","1","8.3155517578125"
"$","4","1707210979527","178","-18.1875","15.6796875","23.5875720977783","1","5.755615234375"
"$","5","1707210979527","178","-75.3515625","8.6953125","22.0387649536133","1","8.3155517578125"
"$","4","1707210979590","179","-16.7890625","15.90625","23.5875720977783","1","5.755615234375"
"$","5","1707210979590","179","-74.046875","8.8359375","22.035400390625","1","8.3155517578125"
"$","4","1707210979668","180","-15.484375","15.71875","23.5913276672363","1","4.832763671875"
"$","5","1707210979668","180","-72.75","8.7890625","21.9989185333252","1","7.47607421875"
"$","5","1707210979731","181","-71.4609375","8.953125","22.0021324157715","1","7.1048583984375"
"$","6","1707210979731","181","-121.3046875","0.5390625","21.443904876709","1","8.3155517578125"
"$","5","1707210979793","182","-70.1484375","9.2109375","22.0200824737549","1","6.939453125"
"$","6","1707210979793","182","-120.0625","0.8828125","21.4796543121338","1","8.3155517578125"
"$","5","1707210979871","183","-67.71875","10.1171875","21.9233093261719","1","5.795654296875"
"$","6","1707210979871","183","-117.53125","1.375","21.4796543121338","1","8.3155517578125"
"$","5","1707210979934","184","-66.4453125","10.171875","21.8779373168945","1","6.0604248046875"
"$","5","1707210979996","185","-65.15625","10.390625","21.8779373168945","1","6.0604248046875"
"$","5","1707210980059","186","-63.859375","10.5234375","21.8782939910889","1","6.296875"
"$","5","1707210980137","187","-62.5859375","10.6640625","21.8725509643555","1","6.504638671875"
"$","5","1707210980199","188","-61.2890625","10.8671875","21.8725509643555","1","6.504638671875"
"$","5","1707210980262","189","-60.015625","10.8671875","21.8463897705078","1","6.683349609375"
"$","5","1707210980324","190","-58.71875","11.0546875","21.8463897705078","1","6.683349609375"
"$","5","1707210980402","191","-56.140625","11.109375","21.8128643035889","1","6.86328125"
"$","5","1707210980465","192","-54.84375","11.28125","21.8128643035889","1","6.86328125"
"$","5","1707210980527","193","-53.5390625","11.4453125","21.8128643035889","1","6.86328125"
"$","5","1707210980590","194","-52.2578125","11.5703125","21.6131649017334","1","7.013671875"
"$","5","1707210980668","195","-50.96875","11.734375","21.6131649017334","1","7.013671875"
"$","5","1707210980730","196","-49.6953125","12.0859375","21.677583694458","1","7.1650390625"
"$","5","1707210980793","197","-48.421875","12.2109375","21.6857051849365","1","7.286376953125"
"$","5","1707210980871","198","-47.1328125","12.2421875","21.6664199829102","1","7.37939453125"
"$","5","1707210980933","199","-95.8984375","7.0390625","22.5182437896729","1","5.88427734375"
"$","6","1707210980933","199","-45.859375","12.3125","21.6625080108643","1","7.44140625"
"$","5","1707210981027","200","-94.5859375","7.359375","22.5182437896729","1","5.88427734375"
"$","6","1707210981027","200","-44.5859375","12.296875","21.6335124969482","1","7.50341796875"
"$","5","1707210981074","201","-91.953125","7.9140625","22.5569591522217","1","6.13330078125"
"$","6","1707210981074","201","-42.0078125","12.59375","21.6723194122314","1","7.5654296875"
"$","5","1707210981136","202","-90.6328125","8.2265625","22.5569591522217","1","6.13330078125"
"$","6","1707210981136","202","-40.7109375","12.7421875","21.6723194122314","1","7.5654296875"
"$","5","1707210981215","203","-39.5","12.7109375","21.6689510345459","1","6.59619140625"
"$","5","1707210981261","204","-88.03125","8.5","22.5048408508301","1","6.38671875"
"$","6","1707210981261","204","-38.234375","12.9140625","21.5134429931641","1","5.748046875"
"$","5","1707210981355","205","-86.7109375","8.796875","22.5048408508301","1","6.38671875"
"$","6","1707210981355","205","-36.953125","13.0546875","21.5134429931641","1","5.748046875"
"$","5","1707210981402","206","-35.71875","13.203125","21.5289745330811","1","6.0159912109375"
"$","5","1707210981465","207","-84.09375","8.484375","22.3369655609131","1","6.587646484375"
"$","6","1707210981465","207","-34.4375","13.328125","21.5583248138428","1","6.262451171875"
"$","5","1707210981527","208","-82.7734375","8.7265625","22.3369655609131","1","6.587646484375"
"$","6","1707210981527","208","-33.1484375","13.46875","21.5583248138428","1","6.262451171875"
"$","5","1707210981605","209","-80.1484375","8.6875","22.2788619995117","1","6.76123046875"
"$","6","1707210981605","209","-30.6015625","13.65625","21.5941009521484","1","6.485595703125"
"$","5","1707210981668","210","-78.828125","8.8984375","22.2788619995117","1","6.76123046875"
"$","6","1707210981668","210","-29.3125","13.8671875","21.4867286682129","1","6.655517578125"
"$","5","1707210981730","211","-28.0234375","14.0625","21.3547515869141","1","6.82763671875"
"$","5","1707210981793","212","-76.1953125","9.125","22.2740020751953","1","6.936767578125"
"$","6","1707210981793","212","-26.765625","14.1875","21.3840503692627","1","5.6893310546875"
